,Route,Sh,Amount,Shipping Type Code,Shipping Type Description,Weight,Vol,Vehicle Pallet Capacity (Pallet floor space),MoT,Vehicle Classification,Temp,Truck Size,Truck Type Short Form,Unnamed: 10,Truck Type,Weight Tons,Case Capacity,Pallet,Loose Case Loading/Unloading  Time (hr),Loose Case Loadiong /Unloading producivity (case/hr),Pallet Unloading producivity (Pallets/Hr)
3558,IDA479,GI,4625.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
2764,IDA370,9F,4666.666666666667,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1008,IDA102,9F,4750.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
3977,IDA811,9F,4750.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
353,IDA034,9K,4800.0,9K,JUMBO 20T 40M3,20000,40000000,24.0,Land,Rigid Truck > 17 t,Ambient,Large,Jumbo,,,,,,,,
359,IDA034,GF,4800.0,GF,JUMBO 20T 40M3,20000,40000000,16.0,Land,Rigid Truck > 17 t,Ambient,Large,Jumbo,,40ft container,26,4000,20,,,
692,IDA077,9F,5000.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
702,IDA077,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
798,IDA091,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
820,IDA092,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
825,IDA093,9F,5000.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
832,IDA093,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
853,IDA094,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
877,IDA095,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
897,IDA096,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
918,IDA097,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
941,IDA098,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
960,IDA099,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
980,IDA100,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
988,IDA101,9F,5000.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1001,IDA101,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
