Index,Route,MoT,Temp,BaseCost,Volume,Check in Date,Weight,OldShipmentCount,netVol,netWeight,New_SH,New_BC,NewShipmentCount,Savings
1788,IDA109,Land,Ambient,4368364,79919769.27000001,2017-03-23,30673.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,358,364"
1789,IDA004,Land,Ambient,14078078,150923443.098,2017-03-12,73936.0,6,0.0,0.0,"9L,9L,9L,9L",9726828.0,4.0,"4,351,250"
1790,IDA026,Land,Ambient,12487442,169699204.874,2017-02-12,67577.0,6,0.0,0.0,"GF,GF,GF,GF,9A",8136461.25,5.0,"4,350,981"
1791,IDJ049,Land,Ambient,9992755,131909588.57199998,2017-04-05,47083.0,9,0.0,0.0,"9G,9G,9G,9G,9G,9G",5643282.0,6.0,"4,349,473"
1792,IDA066,Land,Ambient,15950162,78581758.65,2017-02-07,27405.0,3,0.0,0.0,"GF,GF",11601867.333333334,2.0,"4,348,295"
1793,IDA066,Land,Ambient,15950162,77795877.30000001,2017-02-15,35886.0,3,0.0,0.0,"GF,GF",11601867.333333334,2.0,"4,348,295"
1794,IDJ021,Land,Ambient,9478464,62978507.95999999,2017-04-11,26750.0,5,0.0,0.0,"9K,9G",5130992.0,2.0,"4,347,472"
1795,IDA016,Land,Ambient,9618318,50485653.897,2017-02-07,19676.0,7,0.0,0.0,"GF,9G",5276869.4,2.0,"4,341,449"
1796,IDA016,Land,Ambient,7059134,34406515.595,2017-03-17,14312.0,5,0.0,0.0,GF,2722070.4,1.0,"4,337,064"
1797,IDA087,Rail,Ambient,62695320,435141942.32000005,2017-02-24,206855.0,9,0.0,0.0,"GK,GK,GK,GK,GK,GK,GK,GK",58361880.0,8.0,"4,333,440"
1798,IDA155,Land,Ambient,4343409,111641780.0,2017-04-01,52940.0,3,0.0,0.0,"GG,GG",10000.0,2.0,"4,333,409"
1799,IDA009,Land,Ambient,12145600,169157764.67,2017-03-29,68563.0,7,0.0,0.0,"GF,GF,GF,GF,9A",7817954.0,5.0,"4,327,646"
1800,IDA003,Land,Ambient,18930336,295424683.139,2017-03-15,93909.0,13,0.0,0.0,"9K,9K,9K,9K,9K,9K,9K,9G",14612702.3,8.0,"4,317,634"
1801,IDJ049,Land,Ambient,13064450,210228954.38700002,2017-04-09,81000.0,15,0.0,0.0,"9G,9G,9G,9G,9G,9G,9G,9G,9G,9S",8762772.0,10.0,"4,301,678"
1802,IDA004,Land,Ambient,18812147,225417904.80999997,2017-04-02,84552.0,8,0.0,0.0,"9L,9L,9L,9L,9L,9P",14510802.0,6.0,"4,301,345"
1803,IDA155,Land,Ambient,4311213,98927910.28199999,2017-02-09,40974.0,4,0.0,0.0,"GG,GG",10000.0,2.0,"4,301,213"
1804,IDA066,Land,Ambient,24015840,129937936.666,2017-02-04,50057.0,5,0.0,0.0,"GF,GF,GF,9A",19714973.0,4.0,"4,300,867"
1805,IDJ052,Land,Ambient,11888569,109562333.244,2017-04-06,39564.0,8,0.0,0.0,"9K,9K,9P",7598295.0,3.0,"4,290,274"
1806,IDA062,Land,Ambient,6847006,33202017.424,2017-02-20,13387.0,5,0.0,0.0,GF,2557699.0,1.0,"4,289,307"
1807,IDA193,Sea,Ambient,50540800,165661288.14000002,2017-03-08,70024.0,6,0.0,0.0,"9F,9F,9F,GH",46264400.0,4.0,"4,276,400"
1808,IDA091,Land,Ambient,4283885,77955606.14,2017-02-22,26982.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,273,885"
1809,IDA091,Land,Ambient,4283885,79990035.38,2017-03-28,33091.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,273,885"
1810,IDA150,Land,Ambient,4282466,77474326.752,2017-03-29,28311.0,3,0.0,0.0,"GG,GG",10000.0,2.0,"4,272,466"
1811,IDA095,Land,Ambient,4276515,58467596.769999996,2017-04-06,23710.0,2,0.0,0.0,GG,5000.0,1.0,"4,271,515"
1812,IDA511,Land,Ambient,4272914,59973385.19,2017-03-16,26687.0,2,0.0,0.0,GG,5000.0,1.0,"4,267,914"
1813,IDA061,Land,Ambient,12007654,148632828.99,2017-02-13,47867.0,6,0.0,0.0,"GF,GF,GF,GF",7754954.0,4.0,"4,252,700"
1814,IDA429,Land,Ambient,16611309,58115330.81,2017-04-10,25006.0,2,0.0,0.0,"GF,GF",12365169.0,2.0,"4,246,140"
1815,IDA015,Land,Ambient,6848511,49796315.386999995,2017-03-15,21184.0,5,0.0,0.0,"GF,9A",2604657.5,2.0,"4,243,854"
1816,IDA149,Land,Ambient,4250072,113614798.493,2017-04-17,38476.0,4,0.0,0.0,"GG,GG",10000.0,2.0,"4,240,072"
1817,IDA098,Land,Ambient,4245002,39982265.697,2017-04-20,15423.0,2,0.0,0.0,GG,5000.0,1.0,"4,240,002"
1818,IDA059,Land,Ambient,24623607,147971088.45,2017-04-10,63160.0,5,0.0,0.0,"GF,GF,GF,9P",20394553.0,4.0,"4,229,054"
1819,IDA150,Land,Ambient,4234411,88141930.046,2017-04-04,33924.0,3,0.0,0.0,"GG,GG",10000.0,2.0,"4,224,411"
1820,IDA374,Sea,Ambient,28500000,82620089.41,2017-03-11,36943.0,3,0.0,0.0,"9F,GH",24276046.153846152,2.0,"4,223,954"
1821,IDA059,Land,Ambient,21689953,120645951.91999999,2017-01-31,48530.0,5,0.0,0.0,"GF,GF,GF,9S",17497469.5,4.0,"4,192,484"
1822,IDA168,Land,Ambient,40437736,141969631.5,2017-04-05,54208.0,4,0.0,0.0,"9K,9K,9K,9K",36249005.0,4.0,"4,188,731"
1823,IDA107,Land,Ambient,4181908,39203237.013,2017-04-11,17776.0,2,0.0,0.0,GG,5000.0,1.0,"4,176,908"
1824,IDA016,Land,Ambient,6898153,30167913.665999997,2017-03-15,13819.0,6,0.0,0.0,GF,2722070.4,1.0,"4,176,083"
1825,IDA156,Land,Ambient,4185780,79965444.94,2017-02-23,27922.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,175,780"
1826,IDA156,Land,Ambient,4185780,79020870.03,2017-03-06,36563.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,175,780"
1827,IDA150,Land,Ambient,4180000,58876498.613,2017-03-26,21174.0,3,0.0,0.0,GG,5000.0,1.0,"4,175,000"
1828,IDA157,Land,Ambient,4183186,79340527.92,2017-03-24,27780.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,173,186"
1829,IDA157,Land,Ambient,4183186,78620831.7,2017-04-28,25797.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,173,186"
1830,IDA003,Land,Ambient,9915737,115523139.92099999,2017-02-27,47994.0,10,0.0,0.0,"9K,9K,9K",5744089.199999999,3.0,"4,171,648"
1831,IDJ303,Land,Ambient,8187756,47945143.045,2017-04-30,18564.0,3,0.0,0.0,"9Q,9Q",4023417.0,2.0,"4,164,339"
1832,IDA149,Land,Ambient,4173010,118308883.96,2017-03-22,47252.0,3,0.0,0.0,"GG,GG",10000.0,2.0,"4,163,010"
1833,IDA155,Land,Ambient,4173010,119984658.22999999,2017-04-09,51483.0,3,0.0,0.0,"GG,GG",10000.0,2.0,"4,163,010"
1834,IDA003,Land,Ambient,11819578,158093393.278,2017-04-06,58951.0,10,0.0,0.0,"9K,9K,9K,9K",7658785.6,4.0,"4,160,792"
1835,IDA026,Land,Ambient,9165934,92024873.60700001,2017-03-02,40426.0,7,0.0,0.0,"GF,GF,9G",5006513.0,3.0,"4,159,421"
1836,IDA193,Sea,Ambient,40600000,139867000.6,2017-02-24,60009.0,5,0.0,0.0,"9F,9F,9F",36450000.0,3.0,"4,150,000"
1837,IDA159,Land,Ambient,4139631,59940646.743999995,2017-03-24,24624.0,3,0.0,0.0,GG,5000.0,1.0,"4,134,631"
1838,IDA302,Sea,Ambient,13600000,54896179.18,2017-02-07,20559.0,2,0.0,0.0,9F,9470588.0,1.0,"4,129,412"
1839,IDA064,Land,Ambient,9196692,80497057.928,2017-04-01,33450.0,7,0.0,0.0,"GF,GF,9S",5070028.666666667,3.0,"4,126,663"
1840,IDA064,Land,Ambient,12035464,134914121.13899997,2017-03-05,54073.0,7,0.0,0.0,"GF,GF,GF,9H",7914424.0,4.0,"4,121,040"
1841,IDA149,Land,Ambient,4111505,119959534.80000001,2017-04-06,40143.0,3,0.0,0.0,"GG,GG",10000.0,2.0,"4,101,505"
1842,IDA004,Land,Ambient,27851368,264127113.99,2017-03-26,134798.0,11,0.0,0.0,"9G,9G,9G,9G,9G,9G,9G,9G,9G,9G,9G,9G",23752932.0,12.0,"4,098,436"
1843,IDA325,Sea,Ambient,22200000,55589503.17,2017-03-20,23878.0,2,0.0,0.0,"9E,9E",18105000.0,2.0,"4,095,000"
1844,IDA159,Land,Ambient,4091120,59995548.894,2017-03-13,23199.0,3,0.0,0.0,GG,5000.0,1.0,"4,086,120"
1845,IDA159,Land,Ambient,4091120,59967919.022,2017-03-27,18923.0,3,0.0,0.0,GG,5000.0,1.0,"4,086,120"
1846,IDA065,Land,Ambient,7307938,47727890.78599999,2017-02-11,21743.0,4,0.0,0.0,"GF,9A",3235294.5,2.0,"4,072,644"
1847,IDA059,Land,Ambient,18667762,95802962.72,2017-02-03,39699.0,4,0.0,0.0,"GF,GF,9G",14607175.666666666,3.0,"4,060,586"
1848,IDA059,Land,Ambient,18667762,101695198.7,2017-03-05,43488.0,4,0.0,0.0,"GF,GF,9G",14607175.666666666,3.0,"4,060,586"
1849,IDA109,Land,Ambient,4050406,79985048.03999999,2017-03-12,28889.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,040,406"
1850,IDA156,Land,Ambient,4044403,69690212.36,2017-03-26,25041.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,034,403"
1851,IDA064,Land,Ambient,11945787,135227664.57,2017-04-16,55574.0,7,0.0,0.0,"GF,GF,GF,9H",7914424.0,4.0,"4,031,363"
1852,IDA004,Land,Ambient,11323420,119317005.48,2017-03-28,52470.0,5,0.0,0.0,"9L,9L,9L",7295121.0,3.0,"4,028,299"
1853,IDA065,Land,Ambient,7563110,69325147.6,2017-04-09,27210.0,2,0.0,0.0,"GF,GF",3538429.0,2.0,"4,024,681"
1854,IDA002,Land,Ambient,14208068,163040111.141,2017-04-16,66779.0,7,0.0,0.0,"9M,9M,GF",10185844.5,3.0,"4,022,224"
